投标文件密封不严应……？,投标文件密封不严应拒收。,水利监理考点
投标文件逾期送达应……？,投标文件逾期送达应拒收。,水利监理考点
投标保证金不足应……？,投标保证金不足应否决投标。,水利监理考点
投标人资质不符应……？,投标人资质不符应否决投标。,水利监理考点
考点 5,有效投标不足三个可否决全部投标。,水利监理考点
招标公告必须……？,招标公告必须包含资金来源。,水利监理考点
招标公告必须……？,招标公告必须包含资质要求。,水利监理考点
潜在投标人签到表严禁……？,潜在投标人签到表严禁混用。,水利监理考点
招标人不得……？,招标人不得仅答复部分投标人。,水利监理考点
招标文件修改应……？,招标文件修改应在截止前15日通知。,水利监理考点
顺延截止时间需……？,顺延截止时间需书面通知所有投标人。,水利监理考点
考点 12,存在控股关系的投标人投标无效。,水利监理考点
考点 13,总监社保不在投标人处视为弄虚作假。,水利监理考点
考点 14,投标文件装错信封视为串通投标。,水利监理考点
主体工程开工需……？,主体工程开工需在初设批准后。,水利监理考点
开工备案应……？,开工备案应在15个工作日内完成。,水利监理考点
新材料施工前需……？,新材料施工前需专题论证。,水利监理考点
新装备施工前需……？,新装备施工前需履行审批手续。,水利监理考点
重大设计变更需……？,重大设计变更需报原审批部门。,水利监理考点
监理单位严禁……？,监理单位严禁允许关联方供材。,水利监理考点
监理任务严禁……？,监理任务严禁私下分包。,水利监理考点
临时聘用人员需……？,临时聘用人员需签订正式协议。,水利监理考点
分包单位需……？,分包单位需报发包人审批。,水利监理考点
总监不得……？,总监不得直接审批分包单位。,水利监理考点
发包人要求使用不合格材料总监应……？,发包人要求使用不合格材料总监应拒绝。,水利监理考点
监理实施细则需……？,监理实施细则需在施工措施批准后编制。,水利监理考点
监理实施细则应……？,监理实施细则应按进度分阶段编制。,水利监理考点
考点 28,监理员无权编制监理实施细则。,水利监理考点
监理实施细则由……？,监理实施细则由监理工程师组织编制。,水利监理考点
监理实施细则由……？,监理实施细则由总监审批。,水利监理考点
细则需……？,细则需包含检查和检验项目标准。,水利监理考点
细则需……？,细则需包含资料和质量评定要求。,水利监理考点
细则需……？,细则需包含采用的表式清单。,水利监理考点
隐蔽工程覆盖前必须……？,隐蔽工程覆盖前必须通知监理。,水利监理考点
考点 35,私自覆盖隐蔽工程监理有权要求重检。,水利监理考点
考点 36,不可抗力导致材料损坏发包人担责。,水利监理考点
不可抗力导致工期延误应……？,不可抗力导致工期延误应予顺延。,水利监理考点
试验检测合格费用由……？,试验检测合格费用由发包人承担。,水利监理考点
变更指示必须……？,变更指示必须由监理人发出。,水利监理考点
发包人不得……？,发包人不得直接向承包人发变更指示。,水利监理考点
原合同已含工艺不得……？,原合同已含工艺不得重复计价。,水利监理考点
征地延误导致停工承包人仍需……？,征地延误导致停工承包人仍需赶工。,水利监理考点
不利物质条件损失由……？,不利物质条件损失由发包人承担。,水利监理考点
考点 44,签收清单不代表认可材料质量。,水利监理考点
供货方违约导致额外采购费由……？,供货方违约导致额外采购费由其承担。,水利监理考点
考点 46,发包人未付预付款属于违约。,水利监理考点
考点 47,承包人私撤工具属于违约。,水利监理考点
考点 48,承包人拒绝清除不合格钢筋属于违约。,水利监理考点
见证取样需……？,见证取样需监理与承包人共同签字。,水利监理考点
地质编录应……？,地质编录应报请设代机构进行。,水利监理考点
承包人必须……？,承包人必须检测发包人提供的材料。,水利监理考点
考点 52,补强后的单元工程最高评为合格。,水利监理考点
永久性缺陷单元工程需……？,永久性缺陷单元工程需备案。,水利监理考点
考点 54,关键单元优良率达90%方可评优。,水利监理考点
发生较大质量事故不得……？,发生较大质量事故不得评为优良。,水利监理考点
EPC主体工程严禁……？,EPC主体工程严禁违法分包。,水利监理考点
考点 57,承包人无法履约发包人可解约。,水利监理考点
考点 58,独立保函索赔不受基础合同影响。,水利监理考点
考点 59,招标可引用“参照或相当于”说明。,水利监理考点
考点 60,卖方未参加开箱视为接受结果。,水利监理考点
考点 61,质保期内故障修复后重新计算。,水利监理考点
平行检测不合格应……？,平行检测不合格应组织原因分析。,水利监理考点
考点 63,实体检测是判断质量的最终依据。,水利监理考点
监理发现不合格应……？,监理发现不合格应提请发包人论证。,水利监理考点
旁站监理范围由……？,旁站监理范围由规范和合同约定。,水利监理考点
分部验收组不应……？,分部验收组不应包括质监机构。,水利监理考点
考点 67,验收组每个单位代表不超2名。,水利监理考点
